,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Adsorption energy(ev)
149,37,37,32,18,18,18,18,20,48,48,41,18,18,18,18,20,5,5,4,3,3,3,3,4,0.363,0.363,0.32,0.479,0.479,0.479,0.479,0.647,1.53,1.53,5.32,0.00321,0.00321,0.00321,0.00321,1.54,3.0,3.0,1.5,0.97,0.97,0.97,0.97,2.2,4.1771,4.1771,7.8994,12.9676,12.9676,12.9676,12.9676,6.1132,85.468,85.468,72.64,35.453,35.453,35.453,35.453,40.078,312.79,312.79,1211.45,172.31,172.31,172.31,172.31,1112.15,-3.469620368
150,37,37,32,18,18,18,18,12,48,48,41,18,18,18,18,12,5,5,4,3,3,3,3,3,0.363,0.363,0.32,0.479,0.479,0.479,0.479,1.023,1.53,1.53,5.32,0.00321,0.00321,0.00321,0.00321,1.74,3.0,3.0,1.5,0.97,0.97,0.97,0.97,1.7,4.1771,4.1771,7.8994,12.9676,12.9676,12.9676,12.9676,7.6462,85.468,85.468,72.64,35.453,35.453,35.453,35.453,24.305,312.79,312.79,1211.45,172.31,172.31,172.31,172.31,923.15,0.647958628
151,37,37,32,18,18,18,18,9,48,48,41,18,18,18,18,10,5,5,4,3,3,3,3,2,0.363,0.363,0.32,0.479,0.479,0.479,0.479,0.824,1.53,1.53,5.32,0.00321,0.00321,0.00321,0.00321,0.0017,3.0,3.0,1.5,0.97,0.97,0.97,0.97,0.57,4.1771,4.1771,7.8994,12.9676,12.9676,12.9676,12.9676,17.4228,85.468,85.468,72.64,35.453,35.453,35.453,35.453,18.998,312.79,312.79,1211.45,172.31,172.31,172.31,172.31,53.63,-4.935473795
152,55,55,32,18,18,18,18,3,78,78,41,18,18,18,18,4,6,6,4,3,3,3,3,2,0.242,0.242,0.32,0.479,0.479,0.479,0.479,3.582,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,0.534,3.3,3.3,1.5,0.97,0.97,0.97,0.97,2.1,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,5.3917,132.905,132.905,72.64,35.453,35.453,35.453,35.453,6.941,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,453.85,-3.46912126
153,55,55,32,18,18,18,18,30,78,78,41,18,18,18,18,35,6,6,4,3,3,3,3,4,0.242,0.242,0.32,0.479,0.479,0.479,0.479,0.388,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,7.13,3.3,3.3,1.5,0.97,0.97,0.97,0.97,1.5,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,9.3942,132.905,132.905,72.64,35.453,35.453,35.453,35.453,65.38,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,692.88,1.810990162
154,55,55,32,18,18,18,18,19,78,78,41,18,18,18,18,20,6,6,4,3,3,3,3,4,0.242,0.242,0.32,0.479,0.479,0.479,0.479,0.757,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,0.862,3.3,3.3,1.5,0.97,0.97,0.97,0.97,2.8,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,4.3407,132.905,132.905,72.64,35.453,35.453,35.453,35.453,39.098,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,336.5,-2.696562842
155,55,55,32,18,18,18,18,11,78,78,41,18,18,18,18,12,6,6,4,3,3,3,3,3,0.242,0.242,0.32,0.479,0.479,0.479,0.479,1.228,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,0.971,3.3,3.3,1.5,0.97,0.97,0.97,0.97,2.2,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,5.1391,132.905,132.905,72.64,35.453,35.453,35.453,35.453,22.99,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,371.15,-1.730756807
156,55,55,32,18,18,18,18,13,78,78,41,18,18,18,18,14,6,6,4,3,3,3,3,3,0.242,0.242,0.32,0.479,0.479,0.479,0.479,0.897,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,2.7,3.3,3.3,1.5,0.97,0.97,0.97,0.97,1.8,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,5.9858,132.905,132.905,72.64,35.453,35.453,35.453,35.453,26.982,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,933.4,-0.18753179
157,55,55,32,18,18,18,18,20,78,78,41,18,18,18,18,20,6,6,4,3,3,3,3,4,0.242,0.242,0.32,0.479,0.479,0.479,0.479,0.647,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,1.54,3.3,3.3,1.5,0.97,0.97,0.97,0.97,2.2,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,6.1132,132.905,132.905,72.64,35.453,35.453,35.453,35.453,40.078,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,1112.15,-4.141104151
158,55,55,32,18,18,18,18,12,78,78,41,18,18,18,18,12,6,6,4,3,3,3,3,3,0.242,0.242,0.32,0.479,0.479,0.479,0.479,1.023,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,1.74,3.3,3.3,1.5,0.97,0.97,0.97,0.97,1.7,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,7.6462,132.905,132.905,72.64,35.453,35.453,35.453,35.453,24.305,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,923.15,-0.024211503
159,55,55,32,18,18,18,18,9,78,78,41,18,18,18,18,10,6,6,4,3,3,3,3,2,0.242,0.242,0.32,0.479,0.479,0.479,0.479,0.824,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,0.0017,3.3,3.3,1.5,0.97,0.97,0.97,0.97,0.57,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,17.4228,132.905,132.905,72.64,35.453,35.453,35.453,35.453,18.998,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,53.63,-4.50841377
160,3,3,50,18,18,18,18,3,4,4,69,18,18,18,18,4,2,2,5,3,3,3,3,2,3.582,3.582,0.228,0.479,0.479,0.479,0.479,3.582,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,0.534,2.1,2.1,1.7,0.97,0.97,0.97,0.97,2.1,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,5.3917,6.941,6.941,118.71,35.453,35.453,35.453,35.453,6.941,453.85,453.85,505.21,172.31,172.31,172.31,172.31,453.85,-3.570627906
161,3,3,50,18,18,18,18,30,4,4,69,18,18,18,18,35,2,2,5,3,3,3,3,4,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.388,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,7.13,2.1,2.1,1.7,0.97,0.97,0.97,0.97,1.5,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,6.941,6.941,118.71,35.453,35.453,35.453,35.453,65.38,453.85,453.85,505.21,172.31,172.31,172.31,172.31,692.88,4.102531588
162,3,3,50,18,18,18,18,19,4,4,69,18,18,18,18,20,2,2,5,3,3,3,3,4,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.757,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,0.862,2.1,2.1,1.7,0.97,0.97,0.97,0.97,2.8,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,4.3407,6.941,6.941,118.71,35.453,35.453,35.453,35.453,39.098,453.85,453.85,505.21,172.31,172.31,172.31,172.31,336.5,-4.083767235
163,3,3,50,18,18,18,18,11,4,4,69,18,18,18,18,12,2,2,5,3,3,3,3,3,3.582,3.582,0.228,0.479,0.479,0.479,0.479,1.228,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,0.971,2.1,2.1,1.7,0.97,0.97,0.97,0.97,2.2,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,5.1391,6.941,6.941,118.71,35.453,35.453,35.453,35.453,22.99,453.85,453.85,505.21,172.31,172.31,172.31,172.31,371.15,-2.903680973
164,3,3,50,18,18,18,18,13,4,4,69,18,18,18,18,14,2,2,5,3,3,3,3,3,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.897,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,2.7,2.1,2.1,1.7,0.97,0.97,0.97,0.97,1.8,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,6.941,6.941,118.71,35.453,35.453,35.453,35.453,26.982,453.85,453.85,505.21,172.31,172.31,172.31,172.31,933.4,3.74102164
165,3,3,50,18,18,18,18,20,4,4,69,18,18,18,18,20,2,2,5,3,3,3,3,4,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.647,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,1.54,2.1,2.1,1.7,0.97,0.97,0.97,0.97,2.2,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,6.941,6.941,118.71,35.453,35.453,35.453,35.453,40.078,453.85,453.85,505.21,172.31,172.31,172.31,172.31,1112.15,-3.452336443
166,3,3,50,18,18,18,18,12,4,4,69,18,18,18,18,12,2,2,5,3,3,3,3,3,3.582,3.582,0.228,0.479,0.479,0.479,0.479,1.023,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,1.74,2.1,2.1,1.7,0.97,0.97,0.97,0.97,1.7,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,7.6462,6.941,6.941,118.71,35.453,35.453,35.453,35.453,24.305,453.85,453.85,505.21,172.31,172.31,172.31,172.31,923.15,0.8978442
167,3,3,50,18,18,18,18,9,4,4,69,18,18,18,18,10,2,2,5,3,3,3,3,2,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.824,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,0.0017,2.1,2.1,1.7,0.97,0.97,0.97,0.97,0.57,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,17.4228,6.941,6.941,118.71,35.453,35.453,35.453,35.453,18.998,453.85,453.85,505.21,172.31,172.31,172.31,172.31,53.63,-6.737654772
168,11,11,50,18,18,18,18,3,12,12,69,18,18,18,18,4,3,3,5,3,3,3,3,2,1.228,1.228,0.228,0.479,0.479,0.479,0.479,3.582,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,0.534,2.2,2.2,1.7,0.97,0.97,0.97,0.97,2.1,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,5.3917,22.99,22.99,118.71,35.453,35.453,35.453,35.453,6.941,371.15,371.15,505.21,172.31,172.31,172.31,172.31,453.85,-3.558440376
169,11,11,50,18,18,18,18,30,12,12,69,18,18,18,18,35,3,3,5,3,3,3,3,4,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.388,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,7.13,2.2,2.2,1.7,0.97,0.97,0.97,0.97,1.5,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,22.99,22.99,118.71,35.453,35.453,35.453,35.453,65.38,371.15,371.15,505.21,172.31,172.31,172.31,172.31,692.88,3.073435172
170,11,11,50,18,18,18,18,19,12,12,69,18,18,18,18,20,3,3,5,3,3,3,3,4,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.757,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,0.862,2.2,2.2,1.7,0.97,0.97,0.97,0.97,2.8,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,4.3407,22.99,22.99,118.71,35.453,35.453,35.453,35.453,39.098,371.15,371.15,505.21,172.31,172.31,172.31,172.31,336.5,-2.712853055
171,11,11,50,18,18,18,18,11,12,12,69,18,18,18,18,12,3,3,5,3,3,3,3,3,1.228,1.228,0.228,0.479,0.479,0.479,0.479,1.228,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,0.971,2.2,2.2,1.7,0.97,0.97,0.97,0.97,2.2,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,5.1391,22.99,22.99,118.71,35.453,35.453,35.453,35.453,22.99,371.15,371.15,505.21,172.31,172.31,172.31,172.31,371.15,-1.082114588
172,11,11,50,18,18,18,18,13,12,12,69,18,18,18,18,14,3,3,5,3,3,3,3,3,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.897,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,2.7,2.2,2.2,1.7,0.97,0.97,0.97,0.97,1.8,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,22.99,22.99,118.71,35.453,35.453,35.453,35.453,26.982,371.15,371.15,505.21,172.31,172.31,172.31,172.31,933.4,2.897858813
173,11,11,50,18,18,18,18,20,12,12,69,18,18,18,18,20,3,3,5,3,3,3,3,4,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.647,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,1.54,2.2,2.2,1.7,0.97,0.97,0.97,0.97,2.2,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,22.99,22.99,118.71,35.453,35.453,35.453,35.453,40.078,371.15,371.15,505.21,172.31,172.31,172.31,172.31,1112.15,-3.333193544
174,11,11,50,18,18,18,18,12,12,12,69,18,18,18,18,12,3,3,5,3,3,3,3,3,1.228,1.228,0.228,0.479,0.479,0.479,0.479,1.023,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,1.74,2.2,2.2,1.7,0.97,0.97,0.97,0.97,1.7,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,7.6462,22.99,22.99,118.71,35.453,35.453,35.453,35.453,24.305,371.15,371.15,505.21,172.31,172.31,172.31,172.31,923.15,1.44977902
175,11,11,50,18,18,18,18,9,12,12,69,18,18,18,18,10,3,3,5,3,3,3,3,2,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.824,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,0.0017,2.2,2.2,1.7,0.97,0.97,0.97,0.97,0.57,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,17.4228,22.99,22.99,118.71,35.453,35.453,35.453,35.453,18.998,371.15,371.15,505.21,172.31,172.31,172.31,172.31,53.63,-7.033810301
176,19,19,50,18,18,18,18,3,20,20,69,18,18,18,18,4,4,4,5,3,3,3,3,2,0.757,0.757,0.228,0.479,0.479,0.479,0.479,3.582,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,0.534,2.8,2.8,1.7,0.97,0.97,0.97,0.97,2.1,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,5.3917,39.098,39.098,118.71,35.453,35.453,35.453,35.453,6.941,336.5,336.5,505.21,172.31,172.31,172.31,172.31,453.85,-2.785538001
177,19,19,50,18,18,18,18,30,20,20,69,18,18,18,18,35,4,4,5,3,3,3,3,4,0.757,0.757,0.228,0.479,0.479,0.479,0.479,0.388,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,7.13,2.8,2.8,1.7,0.97,0.97,0.97,0.97,1.5,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,39.098,39.098,118.71,35.453,35.453,35.453,35.453,65.38,336.5,336.5,505.21,172.31,172.31,172.31,172.31,692.88,2.789252478
178,19,19,50,18,18,18,18,19,20,20,69,18,18,18,18,20,4,4,5,3,3,3,3,4,0.757,0.757,0.228,0.479,0.479,0.479,0.479,0.757,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,0.862,2.8,2.8,1.7,0.97,0.97,0.97,0.97,2.8,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,4.3407,39.098,39.098,118.71,35.453,35.453,35.453,35.453,39.098,336.5,336.5,505.21,172.31,172.31,172.31,172.31,336.5,-2.005222748
179,19,19,50,18,18,18,18,11,20,20,69,18,18,18,18,12,4,4,5,3,3,3,3,3,0.757,0.757,0.228,0.479,0.479,0.479,0.479,1.228,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,0.971,2.8,2.8,1.7,0.97,0.97,0.97,0.97,2.2,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,5.1391,39.098,39.098,118.71,35.453,35.453,35.453,35.453,22.99,336.5,336.5,505.21,172.31,172.31,172.31,172.31,371.15,-1.426904805
180,19,19,50,18,18,18,18,13,20,20,69,18,18,18,18,14,4,4,5,3,3,3,3,3,0.757,0.757,0.228,0.479,0.479,0.479,0.479,0.897,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,2.7,2.8,2.8,1.7,0.97,0.97,0.97,0.97,1.8,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,39.098,39.098,118.71,35.453,35.453,35.453,35.453,26.982,336.5,336.5,505.21,172.31,172.31,172.31,172.31,933.4,1.809931352
181,19,19,50,18,18,18,18,20,20,20,69,18,18,18,18,20,4,4,5,3,3,3,3,4,0.757,0.757,0.228,0.479,0.479,0.479,0.479,0.647,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,1.54,2.8,2.8,1.7,0.97,0.97,0.97,0.97,2.2,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,39.098,39.098,118.71,35.453,35.453,35.453,35.453,40.078,336.5,336.5,505.21,172.31,172.31,172.31,172.31,1112.15,-3.170026684
182,19,19,50,18,18,18,18,12,20,20,69,18,18,18,18,12,4,4,5,3,3,3,3,3,0.757,0.757,0.228,0.479,0.479,0.479,0.479,1.023,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,1.74,2.8,2.8,1.7,0.97,0.97,0.97,0.97,1.7,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,7.6462,39.098,39.098,118.71,35.453,35.453,35.453,35.453,24.305,336.5,336.5,505.21,172.31,172.31,172.31,172.31,923.15,0.894924069
183,19,19,50,18,18,18,18,9,20,20,69,18,18,18,18,10,4,4,5,3,3,3,3,2,0.757,0.757,0.228,0.479,0.479,0.479,0.479,0.824,0.862,0.862,7.29,0.00321,0.00321,0.00321,0.00321,0.0017,2.8,2.8,1.7,0.97,0.97,0.97,0.97,0.57,4.3407,4.3407,7.3439,12.9676,12.9676,12.9676,12.9676,17.4228,39.098,39.098,118.71,35.453,35.453,35.453,35.453,18.998,336.5,336.5,505.21,172.31,172.31,172.31,172.31,53.63,-5.069294203
184,37,37,50,18,18,18,18,3,48,48,69,18,18,18,18,4,5,5,5,3,3,3,3,2,0.363,0.363,0.228,0.479,0.479,0.479,0.479,3.582,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,0.534,3.0,3.0,1.7,0.97,0.97,0.97,0.97,2.1,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,5.3917,85.468,85.468,118.71,35.453,35.453,35.453,35.453,6.941,312.79,312.79,505.21,172.31,172.31,172.31,172.31,453.85,-3.106747692
185,37,37,50,18,18,18,18,30,48,48,69,18,18,18,18,35,5,5,5,3,3,3,3,4,0.363,0.363,0.228,0.479,0.479,0.479,0.479,0.388,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,7.13,3.0,3.0,1.7,0.97,0.97,0.97,0.97,1.5,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,85.468,85.468,118.71,35.453,35.453,35.453,35.453,65.38,312.79,312.79,505.21,172.31,172.31,172.31,172.31,692.88,2.474567052
186,37,37,50,18,18,18,18,19,48,48,69,18,18,18,18,20,5,5,5,3,3,3,3,4,0.363,0.363,0.228,0.479,0.479,0.479,0.479,0.757,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,0.862,3.0,3.0,1.7,0.97,0.97,0.97,0.97,2.8,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,4.3407,85.468,85.468,118.71,35.453,35.453,35.453,35.453,39.098,312.79,312.79,505.21,172.31,172.31,172.31,172.31,336.5,-2.267498176
187,37,37,50,18,18,18,18,11,48,48,69,18,18,18,18,12,5,5,5,3,3,3,3,3,0.363,0.363,0.228,0.479,0.479,0.479,0.479,1.228,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,0.971,3.0,3.0,1.7,0.97,0.97,0.97,0.97,2.2,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,5.1391,85.468,85.468,118.71,35.453,35.453,35.453,35.453,22.99,312.79,312.79,505.21,172.31,172.31,172.31,172.31,371.15,-1.543364145
188,37,37,50,18,18,18,18,13,48,48,69,18,18,18,18,14,5,5,5,3,3,3,3,3,0.363,0.363,0.228,0.479,0.479,0.479,0.479,0.897,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,2.7,3.0,3.0,1.7,0.97,0.97,0.97,0.97,1.8,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,85.468,85.468,118.71,35.453,35.453,35.453,35.453,26.982,312.79,312.79,505.21,172.31,172.31,172.31,172.31,933.4,1.130804147
189,37,37,50,18,18,18,18,20,48,48,69,18,18,18,18,20,5,5,5,3,3,3,3,4,0.363,0.363,0.228,0.479,0.479,0.479,0.479,0.647,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,1.54,3.0,3.0,1.7,0.97,0.97,0.97,0.97,2.2,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,85.468,85.468,118.71,35.453,35.453,35.453,35.453,40.078,312.79,312.79,505.21,172.31,172.31,172.31,172.31,1112.15,-3.659855029
190,37,37,50,18,18,18,18,12,48,48,69,18,18,18,18,12,5,5,5,3,3,3,3,3,0.363,0.363,0.228,0.479,0.479,0.479,0.479,1.023,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,1.74,3.0,3.0,1.7,0.97,0.97,0.97,0.97,1.7,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,7.6462,85.468,85.468,118.71,35.453,35.453,35.453,35.453,24.305,312.79,312.79,505.21,172.31,172.31,172.31,172.31,923.15,0.500923551
191,37,37,50,18,18,18,18,9,48,48,69,18,18,18,18,10,5,5,5,3,3,3,3,2,0.363,0.363,0.228,0.479,0.479,0.479,0.479,0.824,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,0.0017,3.0,3.0,1.7,0.97,0.97,0.97,0.97,0.57,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,17.4228,85.468,85.468,118.71,35.453,35.453,35.453,35.453,18.998,312.79,312.79,505.21,172.31,172.31,172.31,172.31,53.63,-4.555662785
192,55,55,50,18,18,18,18,3,78,78,69,18,18,18,18,4,6,6,5,3,3,3,3,2,0.242,0.242,0.228,0.479,0.479,0.479,0.479,3.582,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,0.534,3.3,3.3,1.7,0.97,0.97,0.97,0.97,2.1,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,5.3917,132.905,132.905,118.71,35.453,35.453,35.453,35.453,6.941,301.7,301.7,505.21,172.31,172.31,172.31,172.31,453.85,-3.395961453
193,55,55,50,18,18,18,18,30,78,78,69,18,18,18,18,35,6,6,5,3,3,3,3,4,0.242,0.242,0.228,0.479,0.479,0.479,0.479,0.388,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,7.13,3.3,3.3,1.7,0.97,0.97,0.97,0.97,1.5,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,132.905,132.905,118.71,35.453,35.453,35.453,35.453,65.38,301.7,301.7,505.21,172.31,172.31,172.31,172.31,692.88,1.787664027
194,55,55,50,18,18,18,18,19,78,78,69,18,18,18,18,20,6,6,5,3,3,3,3,4,0.242,0.242,0.228,0.479,0.479,0.479,0.479,0.757,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,0.862,3.3,3.3,1.7,0.97,0.97,0.97,0.97,2.8,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,4.3407,132.905,132.905,118.71,35.453,35.453,35.453,35.453,39.098,301.7,301.7,505.21,172.31,172.31,172.31,172.31,336.5,-2.523215937
195,55,55,50,18,18,18,18,11,78,78,69,18,18,18,18,12,6,6,5,3,3,3,3,3,0.242,0.242,0.228,0.479,0.479,0.479,0.479,1.228,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,0.971,3.3,3.3,1.7,0.97,0.97,0.97,0.97,2.2,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,5.1391,132.905,132.905,118.71,35.453,35.453,35.453,35.453,22.99,301.7,301.7,505.21,172.31,172.31,172.31,172.31,371.15,-1.573896919
196,55,55,50,18,18,18,18,13,78,78,69,18,18,18,18,14,6,6,5,3,3,3,3,3,0.242,0.242,0.228,0.479,0.479,0.479,0.479,0.897,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,2.7,3.3,3.3,1.7,0.97,0.97,0.97,0.97,1.8,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,5.9858,132.905,132.905,118.71,35.453,35.453,35.453,35.453,26.982,301.7,301.7,505.21,172.31,172.31,172.31,172.31,933.4,0.082758158
197,55,55,50,18,18,18,18,20,78,78,69,18,18,18,18,20,6,6,5,3,3,3,3,4,0.242,0.242,0.228,0.479,0.479,0.479,0.479,0.647,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,1.54,3.3,3.3,1.7,0.97,0.97,0.97,0.97,2.2,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,132.905,132.905,118.71,35.453,35.453,35.453,35.453,40.078,301.7,301.7,505.21,172.31,172.31,172.31,172.31,1112.15,-4.300815756
198,55,55,50,18,18,18,18,12,78,78,69,18,18,18,18,12,6,6,5,3,3,3,3,3,0.242,0.242,0.228,0.479,0.479,0.479,0.479,1.023,1.87,1.87,7.29,0.00321,0.00321,0.00321,0.00321,1.74,3.3,3.3,1.7,0.97,0.97,0.97,0.97,1.7,3.8939,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,7.6462,132.905,132.905,118.71,35.453,35.453,35.453,35.453,24.305,301.7,301.7,505.21,172.31,172.31,172.31,172.31,923.15,-0.097658479
